"city","county","state","total_penjualan","population","penjualan_perkapita"
"Murray","Clarke","Iowa","43576.500000000015",1375,"31.692"
"Hospers","Sioux","Iowa","38265.35000000002",1220,"31.365040983606555"
"Delhi","Delaware","Iowa","31152.80999999999",1017,"30.63206489675515"
"Moville","Woodbury","Iowa","61663.46000000002",2635,"23.401692599620475"
"Preston","Jackson","Iowa","31206.939999999995",1476,"21.142913279132806"
"Boyden","Sioux","Iowa","25992.86",1288,"20.180791925465844"
"Milo","Warren","Iowa","30272.639999999996",1589,"19.05137822529893"
"Sidney","Fremont","Iowa","26026.629999999997",1636,"15.908698044009784"
"Malcom","Poweshiek","Iowa","12852.89",905,"14.202088397790057"
"Everly","Clay","Iowa","11217.45",986,"11.376724137931033"
"Ireton","Sioux","Iowa","12503.869999999999",1112,"11.244487410071942"
"Washta","Cherokee","Iowa","5119.709999999999",458,"11.178406113537118"
"Bussey","Marion","Iowa","8972.279999999999",899,"9.980289210233593"
"Willmar","Kandiyohi","Minnesota","130693.75999999998",23562,"5.54680247856718"
"Olin","Jones","Iowa","4757.9",1138,"4.180931458699472"
"Colorado Springs","El Paso","Colorado","186.84",20168,"0.009264180880602935"
